"Date","Daily DD","Cumulative"
"01/01/2023","0","0"
"01/02/2023","0","0"
"01/03/2023","0","0"
"01/04/2023","1","1"
"01/05/2023","0","1"
"01/06/2023","0","1"
"01/07/2023","0","1"
"01/08/2023","0","1"
"01/09/2023","0","1"
"01/10/2023","0","1"
"01/11/2023","0","1"
"01/12/2023","0","1"
"01/13/2023","0","1"
"01/14/2023","0","1"
"01/15/2023","0","1"
"01/16/2023","0","1"
"01/17/2023","0","1"
"01/18/2023","0","1"
"01/19/2023","0","1"
"01/20/2023","0","1"
"01/21/2023","0","1"
"01/22/2023","0","1"
"01/23/2023","0","1"
"01/24/2023","0","1"
"01/25/2023","0","1"
"01/26/2023","0","1"
"01/27/2023","0","1"
"01/28/2023","0","1"
"01/29/2023","0","1"
"01/30/2023","0","1"
"01/31/2023","0","1"
"02/01/2023","0","1"
"02/02/2023","0","1"
"02/03/2023","0","1"
"02/04/2023","0","1"
"02/05/2023","0","1"
"02/06/2023","0","1"
"02/07/2023","0","1"
"02/08/2023","0","1"
"02/09/2023","0","1"
"02/10/2023","0","1"
"02/11/2023","0","1"
"02/12/2023","0","1"
"02/13/2023","0","1"
"02/14/2023","0","1"
"02/15/2023","0","1"
"02/16/2023","0","1"
"02/17/2023","0","1"
"02/18/2023","0","1"
"02/19/2023","0","1"
"02/20/2023","0","1"
"02/21/2023","0","1"
"02/22/2023","0","1"
"02/23/2023","1","3"
"02/24/2023","0","3"
"02/25/2023","0","3"
"02/26/2023","0","3"
"02/27/2023","0","3"
"02/28/2023","0","3"
"03/01/2023","0","3"
"03/02/2023","0","3"
"03/03/2023","0","3"
"03/04/2023","0","3"
"03/05/2023","0","3"
"03/06/2023","0","3"
"03/07/2023","0","3"
"03/08/2023","0","3"
"03/09/2023","0","3"
"03/10/2023","0","3"
"03/11/2023","0","3"
"03/12/2023","0","3"
"03/13/2023","0","3"
"03/14/2023","0","3"
"03/15/2023","0","3"
"03/16/2023","0","3"
"03/17/2023","0","3"
"03/18/2023","0","3"
"03/19/2023","0","3"
"03/20/2023","0","3"
"03/21/2023","0","3"
"03/22/2023","0","3"
"03/23/2023","1","4"
"03/24/2023","0","4"
"03/25/2023","0","4"
"03/26/2023","0","4"
"03/27/2023","0","4"
"03/28/2023","0","4"
"03/29/2023","0","4"
"03/30/2023","0","4"
"03/31/2023","0","4"
"04/01/2023","5","9"
"04/02/2023","0","9"
"04/03/2023","0","9"
"04/04/2023","3","12"
"04/05/2023","4","16"
"04/06/2023","8","24"
"04/07/2023","0","24"
"04/08/2023","0","24"
"04/09/2023","0","24"
"04/10/2023","0","24"
"04/11/2023","1","25"
"04/12/2023","10","35"
"04/13/2023","8","43"
