Trap Name,QR Code,Trap ID,Date,adm2,Lat,Long,Crop,Scientific Name,Daily Average Count,Mid Thresh,High Thresh,Incremental Count,Cumulative Count,Actual Count,7 Day Cumulative
Mt Ridge SAS CM,TP862382065553611,4837,5/5/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,0,0.14,0.43,0,121,56,121
Mt Ridge SAS CM,TP862382065553611,4837,5/6/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,3,0.14,0.43,3,124,59,121
Mt Ridge SAS CM,TP862382065553611,4837,5/7/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,9,0.14,0.43,9,133,68,116
Mt Ridge SAS CM,TP862382065553611,4837,5/8/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,0,0.14,0.43,0,133,58,111
Mt Ridge SAS CM,TP862382065553611,4837,5/4/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,12,0.14,0.43,12,121,70,109
Mt Ridge SAS CM,TP862382065553611,4837,5/10/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,0,0.14,0.43,0,148,70,97
Mt Ridge SAS CM,TP862382065553611,4837,5/9/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,15,0.14,0.43,15,148,73,87
Mt Ridge SAS CM,TP862382065553611,4837,5/31/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,0,0.14,0.43,0,245,64,83
Mt Ridge SAS CM,TP862382065553611,4837,6/1/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,0,0.14,0.43,0,245,63,83
Mt Ridge SAS CM,TP862382065553611,4837,5/29/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,0,0.14,0.43,0,233,52,76
Mt Ridge SAS CM,TP862382065553611,4837,5/30/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,12,0.14,0.43,12,245,64,76
Mt Ridge Rex Idared CM 2,TP862382065542192,6146,6/1/2024,Adams,39.9818,-77.3167,Apples,Cydia pomonella,0,0.14,0.43,0,148,66,74
Mt Ridge Rex Idared CM 2,TP862382065542192,6146,5/31/2024,Adams,39.9818,-77.3167,Apples,Cydia pomonella,2,0.14,0.43,2,148,68,72
Mt Ridge Rex Idared CM 2,TP862382065542192,6146,6/2/2024,Adams,39.9818,-77.3167,Apples,Cydia pomonella,0,0.14,0.43,0,148,65,67
Mt Ridge Rex Idared CM 2,TP862382065542192,6146,5/29/2024,Adams,39.9818,-77.3167,Apples,Cydia pomonella,0,0.14,0.43,0,138,58,66
Mt Ridge Rex Idared CM 2,TP862382065542192,6146,5/30/2024,Adams,39.9818,-77.3167,Apples,Cydia pomonella,8,0.14,0.43,8,146,66,66
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/31/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,0,171,56,65
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,6/1/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,0,171,54,65
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,6/2/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,0,171,52,65
Garretson School House CM,TP862382065584400,4748,5/29/2024,Adams,39.9855,-77.2447,Apples,Cydia pomonella,0,0.14,0.43,0,131,46,63
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/22/2024,Dauphin,40.2501,-76.7659,Apples,Cydia pomonella,1,0.14,0.43,1,96,60,63
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/14/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,,85,,62
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/15/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,,85,,62
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/16/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,0,85,52,62
Garretson School House CM,TP862382065584400,4748,5/30/2024,Adams,39.9855,-77.2447,Apples,Cydia pomonella,0,0.14,0.43,0,131,43,62
Garretson School House CM,TP862382065584400,4748,5/31/2024,Adams,39.9855,-77.2447,Apples,Cydia pomonella,0,0.14,0.43,0,131,43,62
Garretson School House CM,TP862382065584400,4748,6/1/2024,Adams,39.9855,-77.2447,Apples,Cydia pomonella,3,0.14,0.43,3,134,46,62
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/19/2024,Dauphin,40.2501,-76.7659,Apples,Cydia pomonella,0,0.14,0.43,0,92,56,62
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/21/2024,Dauphin,40.2501,-76.7659,Apples,Cydia pomonella,1,0.14,0.43,1,95,59,62
Mt Ridge SAS CM,TP862382065553611,4837,5/27/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,0,0.14,0.43,0,214,47,61
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/20/2024,Dauphin,40.2501,-76.7659,Apples,Cydia pomonella,2,0.14,0.43,2,94,58,60
Garretson School House CM,TP862382065584400,4748,5/28/2024,Adams,39.9855,-77.2447,Apples,Cydia pomonella,6,0.14,0.43,6,131,54,59
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/18/2024,Dauphin,40.2501,-76.7659,Apples,Cydia pomonella,3,0.14,0.43,3,92,60,59
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/30/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,0,0.14,0.43,0,141,55,58
Mt Ridge SAS CM,TP862382065553611,4837,5/28/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,19,0.14,0.43,19,233,66,57
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/29/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,0,163,49,57
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/30/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,8,0.14,0.43,8,171,57,57
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/17/2024,Dauphin,40.2501,-76.7659,Apples,Cydia pomonella,2,0.14,0.43,2,89,57,57
Garretson School House CM,TP862382065584400,4748,5/26/2024,Adams,39.9855,-77.2447,Apples,Cydia pomonella,0,0.14,0.43,0,121,44,55
Garretson School House CM,TP862382065584400,4748,5/27/2024,Adams,39.9855,-77.2447,Apples,Cydia pomonella,4,0.14,0.43,4,125,48,55
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/8/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,1,0.14,0.43,1,74,62,54
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/29/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,4,0.14,0.43,4,141,58,54
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,6/2/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,6,0.14,0.43,6,157,57,53
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/28/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,4,0.14,0.43,4,137,54,53
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,6/13/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,0,0.14,0.43,0,217,43,52
Mt Ridge SAS CM,TP862382065553611,4837,6/2/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,1,0.14,0.43,1,246,64,52
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/5/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,0,0.14,0.43,0,53,41,51
