Trap Name,QR Code,Trap ID,Date,adm2,Lat,Long,Crop,Common Name,Scientific Name,Daily Average Count,Mid Thresh,High Thresh,Incremental Count,Cumulative Count,Actual Count,7 Day Cumulative
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/22/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,1,0.14,0.43,1,96,60,63
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/19/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,92,56,62
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/21/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,1,0.14,0.43,1,95,59,62
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/20/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,2,0.14,0.43,2,94,58,60
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/18/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,3,0.14,0.43,3,92,60,59
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/17/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,2,0.14,0.43,2,89,57,57
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/19/2024,Dauphin,40.2536,-76.7684,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,60,39,50
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/20/2024,Dauphin,40.2536,-76.7684,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,60,37,50
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/21/2024,Dauphin,40.2536,-76.7684,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,60,35,50
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/18/2024,Dauphin,40.2536,-76.7684,Apples,Codling moth,Cydia pomonella,4,0.14,0.43,4,60,41,46
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/17/2024,Dauphin,40.2536,-76.7684,Apples,Codling moth,Cydia pomonella,6,0.14,0.43,6,56,37,41
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/22/2024,Dauphin,40.2536,-76.7684,Apples,Codling moth,Cydia pomonella,2,0.14,0.43,2,62,37,41
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/16/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,25,0.14,0.43,25,87,55,36
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/16/2024,Dauphin,40.2536,-76.7684,Apples,Codling moth,Cydia pomonella,6,0.14,0.43,6,50,31,35
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/23/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,96,57,34
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/8/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,26,19,22
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/9/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,4,0.14,0.43,4,30,23,22
PSU_BERKS_CMDAC_APPLES_3,TP862382065571126,7647,6/13/2024,Berks,40.3354,-75.6696,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,20,17,20
PSU_BERKS_CMDAC_APPLES_3,TP862382065571126,7647,6/14/2024,Berks,40.3354,-75.6696,Apples,Codling moth,Cydia pomonella,1,0.14,0.43,1,21,18,20
PSU_CENTRE_CMDAC_APPLES_3,TP862382065565474,6097,6/28/2024,Centre,40.7598,-77.8813,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,55,9,19
PSU_CENTRE_CMDAC_APPLES_3,TP862382065565474,6097,7/1/2024,Centre,40.7598,-77.8813,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,56,1,19
PSU_CENTRE_CMDAC_APPLES_3,TP862382065565474,6097,7/2/2024,Centre,40.7598,-77.8813,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,56,1,19
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/23/2024,Dauphin,40.2536,-76.7684,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,62,33,18
PSU_CENTRE_CMDAC_APPLES_3,TP862382065565474,6097,6/29/2024,Centre,40.7598,-77.8813,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,55,0,18
PSU_CENTRE_CMDAC_APPLES_3,TP862382065565474,6097,6/30/2024,Centre,40.7598,-77.8813,Apples,Codling moth,Cydia pomonella,1,0.14,0.43,1,56,1,18
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/10/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,30,20,17
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/11/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,30,19,17
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/13/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,32,21,17
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/14/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,32,10,17
PSU_BERKS_CMDAC_APPLES_3,TP862382065571126,7647,6/11/2024,Berks,40.3354,-75.6696,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,17,16,17
PSU_BERKS_CMDAC_APPLES_3,TP862382065571126,7647,6/12/2024,Berks,40.3354,-75.6696,Apples,Codling moth,Cydia pomonella,3,0.14,0.43,3,20,19,17
PSU_BERKS_CMDAC_APPLES_3,TP862382065571126,7647,7/2/2024,Berks,40.3354,-75.6696,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,43,16,17
PSU_BERKS_CMDAC_APPLES_3,TP862382065571126,7647,6/10/2024,Berks,40.3354,-75.6696,Apples,Codling moth,Cydia pomonella,1,0.14,0.43,1,17,17,16
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/5/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,15,13,15
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/6/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,15,8,15
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/7/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,11,0.14,0.43,11,26,19,15
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/12/2024,Dauphin,40.2501,-76.7659,Apples,Codling moth,Cydia pomonella,2,0.14,0.43,2,32,21,15
PSU_CENTRE_CMDAC_APPLES_3,TP862382065565474,6097,7/3/2024,Centre,40.7598,-77.8813,Apples,Codling moth,Cydia pomonella,0,0.14,0.43,0,56,0,15
PSU_CENTRE_CMDAC_APPLES_3,TP862382065565474,6097,7/4/2024,Centre,40.7598,-77.8813,Apples,Codling moth,Cydia pomonella,1,0.14,0.43,1,57,1,15
PSU_BERKS_CMDAC_APPLES_3,TP862382065571126,7647,7/1/2024,Berks,40.3354,-75.6696,Apples,Codling moth,Cydia pomonella,3,0.14,0.43,3,43,19,14
