Weeks,NY State,NY Capture/Trap,NY DD Accumulation,PA State,PA Capture/Trap,PA DD Accumulation
1-May,NY,0,1,PA,10,0
8-May,NY,0.5,31,PA,2.17,35
15-May,NY,5.75,99,PA,44.17,124
22-May,NY,13.25,150,PA,3,196
29-May,NY,4.8,227,PA,3.33,284
5-Jun,NY,6.2,326,PA,12.83,410
12-Jun,NY,3.6,403,PA,20.5,516
19-Jun,NY,7.33,507,PA,29.5,637
26-Jun,NY,2.5,651,PA,16.17,773
3-Jul,NY,4.33,805,PA,10.17,935
10-Jul,NY,3.67,990,PA,5.5,1126
17-Jul,NY,4,1169,PA,27.17,1322
24-Jul,NY,3.5,1332,PA,32.67,1492
31-Jul,NY,7.67,1495,PA,18.17,1679
7-Aug,NY,4.67,1616,PA,18.33,1836
14-Aug,NY,5.33,1765,PA,10.83,2010
21-Aug,NY,8.5,1908,PA,37.5,2177
28-Aug,NY,7.83,2041,PA,33.17,2342
4-Sep,NY,6.67,2180,PA,14.5,2504
11-Sep,NY,2.5,2360,PA,8.83,2695
18-Sep,NY,7.17,2455,PA,18.5,2807
25-Sep,NY,2.33,2509,PA,11,2888
