"Date","Daily DD","Cumulative"
"01/01/2023","0","0"
"01/02/2023","0","0"
"01/03/2023","0","0"
"01/04/2023","2","2"
"01/05/2023","0","2"
"01/06/2023","0","2"
"01/07/2023","0","2"
"01/08/2023","0","2"
"01/09/2023","0","2"
"01/10/2023","0","2"
"01/11/2023","0","2"
"01/12/2023","0","2"
"01/13/2023","0","2"
"01/14/2023","0","2"
"01/15/2023","0","2"
"01/16/2023","0","2"
"01/17/2023","0","2"
"01/18/2023","0","2"
"01/19/2023","0","2"
"01/20/2023","0","2"
"01/21/2023","0","2"
"01/22/2023","0","2"
"01/23/2023","0","2"
"01/24/2023","0","2"
"01/25/2023","0","2"
"01/26/2023","0","2"
"01/27/2023","0","2"
"01/28/2023","0","2"
"01/29/2023","0","2"
"01/30/2023","0","2"
"01/31/2023","0","2"
"02/01/2023","0","2"
"02/02/2023","0","2"
"02/03/2023","0","2"
"02/04/2023","0","2"
"02/05/2023","0","2"
"02/06/2023","0","2"
"02/07/2023","0","2"
"02/08/2023","0","2"
"02/09/2023","0","2"
"02/10/2023","0","2"
"02/11/2023","0","2"
"02/12/2023","0","2"
"02/13/2023","0","2"
"02/14/2023","0","2"
"02/15/2023","2","5"
"02/16/2023","0","5"
"02/17/2023","0","5"
"02/18/2023","0","5"
"02/19/2023","0","5"
"02/20/2023","1","5"
"02/21/2023","0","5"
"02/22/2023","0","5"
"02/23/2023","2","7"
"02/24/2023","0","7"
"02/25/2023","0","7"
"02/26/2023","0","7"
"02/27/2023","0","7"
"02/28/2023","0","7"
"03/01/2023","0","7"
"03/02/2023","0","7"
"03/03/2023","0","7"
"03/04/2023","0","7"
"03/05/2023","0","7"
"03/06/2023","0","7"
"03/07/2023","0","7"
"03/08/2023","0","7"
"03/09/2023","0","7"
"03/10/2023","0","7"
"03/11/2023","0","7"
"03/12/2023","0","7"
"03/13/2023","0","7"
"03/14/2023","0","7"
"03/15/2023","0","7"
"03/16/2023","0","7"
"03/17/2023","0","7"
"03/18/2023","0","7"
"03/19/2023","0","7"
"03/20/2023","0","7"
"03/21/2023","0","7"
"03/22/2023","1","8"
"03/23/2023","3","11"
"03/24/2023","0","11"
"03/25/2023","0","11"
"03/26/2023","1","12"
"03/27/2023","0","12"
"03/28/2023","0","12"
"03/29/2023","0","12"
"03/30/2023","0","12"
"03/31/2023","0","12"
"04/01/2023","4","17"
"04/02/2023","0","17"
"04/03/2023","0","17"
"04/04/2023","6","23"
"04/05/2023","10","34"
"04/06/2023","8","42"
"04/07/2023","0","42"
"04/08/2023","0","42"
"04/09/2023","0","42"
"04/10/2023","0","42"
"04/11/2023","4","45"
"04/12/2023","12","57"
"04/13/2023","10","68"
