"Date","Daily DD","Cumulative"
"03/16/2023","8","8"
"03/17/2023","9","17"
"03/18/2023","1","18"
"03/19/2023","0","18"
"03/20/2023","0","18"
"03/21/2023","5","23"
"03/22/2023","14","37"
"03/23/2023","17","53"
"03/24/2023","12","65"
"03/25/2023","4","69"
"03/26/2023","14","83"
"03/27/2023","12","95"
"03/28/2023","8","103"
"03/29/2023","9","111"
"03/30/2023","1","112"
"03/31/2023","6","117"
"04/01/2023","20","137"
"04/02/2023","6","143"
"04/03/2023","11","155"
"04/04/2023","23","178"
"04/05/2023","31","209"
"04/06/2023","26","234"
"04/07/2023","10","245"
"04/08/2023","4","248"
"04/09/2023","6","254"
"04/10/2023","11","265"
"04/11/2023","19","284"
"04/12/2023","33","317"
"04/13/2023","30","347"
"04/14/2023","30","378"
"04/15/2023","26","404"
"04/16/2023","29","432"
"04/17/2023","16","448"
"04/18/2023","8","456"
"04/19/2023","14","470"
"04/20/2023","27","496"
"04/21/2023","29","525"
"04/22/2023","20","545"
"04/23/2023","10","555"
"04/24/2023","6","561"
"04/25/2023","7","568"
"04/26/2023","14","582"
"04/27/2023","17","599"
"04/28/2023","12","611"
"04/29/2023","15","626"
"04/30/2023","15","640"
"05/01/2023","11","651"
"05/02/2023","6","657"
"05/03/2023","8","665"
"05/04/2023","12","677"
"05/05/2023","14","690"
"05/06/2023","18","708"
"05/07/2023","20","728"
"05/08/2023","26","755"
"05/09/2023","21","776"
"05/10/2023","21","797"
"05/11/2023","24","821"
"05/12/2023","30","851"
"05/13/2023","23","873"
"05/14/2023","25","899"
"05/15/2023","22","920"
"05/16/2023","23","944"
"05/17/2023","18","961"
"05/18/2023","14","975"
"05/19/2023","19","995"
"05/20/2023","24","1018"
"05/21/2023","24","1043"
"05/22/2023","27","1069"
"05/23/2023","25","1095"
"05/24/2023","25","1120"
"05/25/2023","17","1137"
"05/26/2023","22","1159"
"05/27/2023","22","1181"
"05/28/2023","23","1204"
"05/29/2023","31","1235"
"05/30/2023","27","1262"
"05/31/2023","24","1286"
"06/01/2023","28","1314"
"06/02/2023","35","1349"
"06/03/2023","35","1384"
"06/04/2023","28","1412"
"06/05/2023","26","1438"
"06/06/2023","27","1464"
"06/07/2023","25","1489"
"06/08/2023","23","1512"
"06/09/2023","23","1535"
"06/10/2023","28","1563"
"06/11/2023","32","1595"
"06/12/2023","26","1621"
"06/13/2023","25","1645"
"06/14/2023","26","1672"
"06/15/2023","26","1698"
"06/16/2023","26","1724"
"06/17/2023","30","1755"
"06/18/2023","33","1787"
"06/19/2023","32","1819"
"06/20/2023","34","1852"
"06/21/2023","23","1876"
"06/22/2023","19","1895"
"06/23/2023","26","1922"
"06/24/2023","36","1958"
"06/25/2023","36","1994"
"06/26/2023","38","2031"
"06/27/2023","33","2064"
"06/28/2023","31","2095"
"06/29/2023","31","2126"
"06/30/2023","33","2159"
"07/01/2023","34","2193"
"07/02/2023","40","2232"
"07/03/2023","38","2270"
"07/04/2023","39","2309"
"07/05/2023","41","2350"
"07/06/2023","40","2390"
"07/07/2023","40","2429"
"07/08/2023","41","2470"
"07/09/2023","34","2504"
"07/10/2023","35","2539"
"07/11/2023","36","2575"
"07/12/2023","39","2613"
"07/13/2023","40","2654"
"07/14/2023","40","2694"
"07/15/2023","40","2734"
"07/16/2023","39","2773"
"07/17/2023","39","2812"
"07/18/2023","35","2847"
"07/19/2023","38","2885"
"07/20/2023","39","2924"
"07/21/2023","33","2956"
"07/22/2023","34","2990"
"07/23/2023","34","3025"
"07/24/2023","34","3058"
"07/25/2023","36","3094"
"07/26/2023","37","3131"
"07/27/2023","43","3174"
"07/28/2023","43","3217"
"07/29/2023","41","3257"
"07/30/2023","33","3290"
"07/31/2023","33","3323"
"08/01/2023","29","3352"
"08/02/2023","31","3383"
"08/03/2023","31","3413"
"08/04/2023","35","3448"
"08/05/2023","34","3482"
"08/06/2023","38","3520"
"08/07/2023","37","3556"
"08/08/2023","35","3591"
"08/09/2023","34","3625"
"08/10/2023","33","3658"
"08/11/2023","36","3695"
"08/12/2023","38","3732"
"08/13/2023","38","3770"
"08/14/2023","38","3808"
"08/15/2023","42","3849"
"08/16/2023","34","3883"
"08/17/2023","35","3918"
"08/18/2023","33","3951"
"08/19/2023","29","3981"
"08/20/2023","33","4013"
"08/21/2023","38","4051"
"08/22/2023","34","4085"
"08/23/2023","30","4115"
"08/24/2023","31","4146"
"08/25/2023","38","4184"
"08/26/2023","39","4223"
"08/27/2023","36","4259"
"08/28/2023","35","4293"
"08/29/2023","32","4326"
"08/30/2023","35","4360"
"08/31/2023","29","4390"
"09/01/2023","30","4420"
"09/02/2023","31","4450"
"09/03/2023","38","4488"
"09/04/2023","45","4532"
"09/05/2023","42","4575"
"09/06/2023","43","4618"
"09/07/2023","42","4659"
"09/08/2023","36","4695"
"09/09/2023","37","4732"
"09/10/2023","34","4766"
"09/11/2023","35","4801"
"09/12/2023","33","4834"
"09/13/2023","33","4867"
"09/14/2023","27","4894"
"09/15/2023","25","4919"
"09/16/2023","26","4945"
"09/17/2023","18","4962"
"09/18/2023","27","4990"
"09/19/2023","25","5014"
"09/20/2023","24","5038"
"09/21/2023","26","5064"
"09/22/2023","23","5087"
"09/23/2023","18","5105"
"09/24/2023","21","5126"
"09/25/2023","22","5147"
"09/26/2023","17","5164"
"09/27/2023","19","5183"
"09/28/2023","19","5203"
"09/29/2023","21","5224"
"09/30/2023","28","5252"
"10/01/2023","28","5280"
"10/02/2023","31","5312"
"10/03/2023","31","5343"
"10/04/2023","32","5374"
"10/05/2023","26","5400"
"10/06/2023","32","5432"
"10/07/2023","17","5450"
"10/08/2023","11","5461"
"10/09/2023","12","5473"
"10/10/2023","15","5488"
"10/11/2023","17","5505"
