Trap Name,QR Code,Trap ID,Date,Lat,Long,Crop,Common Name,Scientific Name,Daily Average Count,Mid Thresh,High Thresh,Incremental Count,Cumulative Count,Actual Count,7 Day Cumulative
Lewis Bros OFM,TP864499062060412,5656,4/12/2024,39.4279,-78.0478,Apples,Oriental Fruit Moth,Grapholita molesta,0.5,0.57,1.14,1,1,1,
Kilmer Spray Shed OFM,TP864499062054936,5654,4/12/2024,39.428,-78.0478,Apples,Oriental Fruit Moth,Grapholita molesta,0.5,0.57,1.14,1,1,1,
Kitchens Market Block OFM,TP864499062044192,5651,4/12/2024,39.5841,-77.9175,Apples,Oriental Fruit Moth,Grapholita molesta,10,0.57,1.14,20,20,20,
Shaw back field OFM,TP862382065570961,6270,4/27/2024,39.7135,-76.5544,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Shaw reds ofm,TP862382065578394,6265,4/27/2024,39.7194,-76.5554,Apples,Oriental Fruit Moth,Grapholita molesta,0.6667,0.57,1.14,2,2,2,
Traceys OFM,TP864499062054878,5669,4/12/2024,39.7642,-77.6667,Apples,Oriental Fruit Moth,Grapholita molesta,3.5,0.57,1.14,7,7,7,
Harlan Hess Packing House OFM,TP862382065579723,5369,4/10/2024,39.807,-77.6157,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Harlan Hess Eds Block OFM,TP862382065548694,5347,4/10/2024,39.8144,-77.5962,Apples,Oriental Fruit Moth,Grapholita molesta,4,0.57,1.14,8,8,8,
Harlan Hess Processing Block OFM,TP862382065578840,5354,4/10/2024,39.8184,-77.597,Apples,Oriental Fruit Moth,Grapholita molesta,2,0.57,1.14,4,4,4,
Harlan Hess Manheim Block OFM,TP862382065545609,5362,4/12/2024,39.8262,-77.5845,Apples,Oriental Fruit Moth,Grapholita molesta,5.75,0.57,1.14,23,23,23,
GFS_RL_Woerner_Lower_CM2,TP864499062060677,6296,4/27/2024,39.831,-77.3716,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
GFS_RL_Woerner_OFM1,TP864499062049084,6292,4/27/2024,39.8332,-77.3772,Apples,Oriental Fruit Moth,Grapholita molesta,0.5,0.57,1.14,1,1,1,
Mt Ridge Speco OFM,TP862382065551458,5314,4/15/2024,39.8338,-77.414,Apples,Oriental Fruit Moth,Grapholita molesta,2.1429,0.57,1.14,15,15,15,
Mt Ridge Speco Sullivan OFM,TP864499062058077,7957,6/21/2024,39.8493,-77.4052,Apples,Oriental Fruit Moth,Grapholita molesta,7,0.57,1.14,7,7,7,
El Vista OFM top of hill,TP862382065561044,6548,5/6/2024,39.8516,-77.378,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
TP862382065587098,TP862382065587098,6544,5/5/2024,39.878,-77.3691,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
GFS_RL_Sharrah Orchards_CM1,TP864499062049134,6215,5/1/2024,39.88627,-77.3885,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
GFS_RL_Sharrah Orchards_OFM2,TP864499062049274,6219,4/24/2024,39.8894,-77.3906,Apples,Oriental Fruit Moth,Grapholita molesta,1,0.57,1.14,1,1,1,
GFS_RL_Deardorff_Apple_OFM,TP864499062049522,6299,4/27/2024,39.8927,-77.3852,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
