Trap Name,QR Code,Trap ID,Date,Lat,Long,Crop,Common Name,Scientific Name,Daily Average Count,Mid Thresh,High Thresh,Incremental Count,Cumulative Count,Actual Count,7 Day Cumulative
GFS_RL_CountryCreek_Peach_OFM,TP864499062058499,5965,4/19/2024,39.877,-77.6947,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,9,0.57,1.14,18,18,18,
GFS_RL_Deardorff_Peach_OFM,TP864499062064463,6301,4/27/2024,39.8912,-77.372,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,3/12/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,3/28/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,3/29/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,3/30/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,3/31/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/1/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/2/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/3/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/4/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/5/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/6/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/7/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/8/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/9/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
