Trap Name,QR Code,Trap ID,Date,Lat,Long,Crop,Common Name,Scientific Name,Daily Average Count,Mid Thresh,High Thresh,Incremental Count,Cumulative Count,Actual Count,7 Day Cumulative
PSU_ADAMS_OFMCD_APPLES_6,TP862382065554338,4641,3/8/2024,39.935,-77.2512,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,3/12/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,3/28/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,3/29/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,3/30/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,3/31/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/1/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/2/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/3/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/4/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/5/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/6/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/7/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/8/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
PSU_ADAMS_OFMCD_PEACHES_6,TP862382065542671,4640,4/9/2024,39.9351,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_PEACHES_4,TP862382065548611,4638,3/7/2024,39.9364,-77.2521,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_APPLES_4,TP862382065565722,4637,3/8/2024,39.9366,-77.2542,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_APPLES_5,TP862382065551334,5301,4/8/2024,39.9387,-77.2552,Apples,Oriental Fruit Moth,Grapholita molesta,0.5,0.57,1.14,1,1,1,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,3/9/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/12/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/13/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/14/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/15/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/16/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/17/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/18/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/19/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/20/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/21/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/22/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/23/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/24/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/25/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/26/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/27/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/28/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/29/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/30/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,5/31/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/1/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/2/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/3/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/4/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/5/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/6/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/7/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,7,0,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/15/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/16/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/17/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/18/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,7,,
PSU_ADAMS_OFMCD_PEACHES_5,TP862382065571076,4639,6/19/2024,39.9394,-77.2555,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,7,0,
PSU_ADAMS_OFMCD_PEACHES_2,TP862382065563677,4631,3/11/2024,39.9482,-77.3025,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_PEACHES_1,TP862382065575663,4630,3/8/2024,39.9486,-77.3031,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_PEACHES_3,TP862382065584608,4632,3/8/2024,39.9492,-77.3022,Stone Fruit,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_APPLES_1,TP862382065580507,4633,3/11/2024,39.954,-77.3005,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_APPLES_2,TP862382065541558,4634,3/8/2024,39.9706,-77.3079,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
