trap_device_id,trap_id,trap_device_name,lat,lon,crop_id,crop_name,pest_id,pest_name,fields_region_state,fields_state,trapdata_date,DD Accumulation,trapdata_daily_avg_count,trapdata_trap_count,trapdata_incremental_count,trapdata_cumulative_count
TP862382065581752,2195,Peters north tower ofmTP862382065581752,39.8889,-77.3459,19,Apples,19,Grapholita molesta,Pennsylvania,,4/29/2023,626,0.6,6,6,6
TP862382065581752,2195,Peters north tower ofmTP862382065581752,39.8889,-77.3459,19,Apples,19,Grapholita molesta,Pennsylvania,,4/30/2023,640,0,6,0,6
TP862382065581752,2195,Peters north tower ofmTP862382065581752,39.8889,-77.3459,19,Apples,19,Grapholita molesta,Pennsylvania,,5/1/2023,651,0,6,0,6
TP862382065581752,2195,Peters north tower ofmTP862382065581752,39.8889,-77.3459,19,Apples,19,Grapholita molesta,Pennsylvania,,5/2/2023,657,1,7,1,7
TP862382065581752,2195,Peters north tower ofmTP862382065581752,39.8889,-77.3459,19,Apples,19,Grapholita molesta,Pennsylvania,,5/3/2023,665,1,8,1,8
TP862382065581752,2195,Peters north tower ofmTP862382065581752,39.8889,-77.3459,19,Apples,19,Grapholita molesta,Pennsylvania,,5/4/2023,677,0,7,0,8
TP862382065581752,2195,Peters north tower ofmTP862382065581752,39.8889,-77.3459,19,Apples,19,Grapholita molesta,Pennsylvania,,5/5/2023,690,1,8,1,9
TP862382065581752,2195,Peters north tower ofmTP862382065581752,39.8889,-77.3459,19,Apples,19,Grapholita molesta,Pennsylvania,,5/6/2023,708,0,5,0,9
TP862382065581752,2195,Peters north tower ofmTP862382065581752,39.8889,-77.3459,19,Apples,19,Grapholita molesta,Pennsylvania,,5/7/2023,728,0,5,0,9
TP862382065581752,2195,Peters north tower ofmTP862382065581752,39.8889,-77.3459,19,Apples,19,Grapholita molesta,Pennsylvania,,5/8/2023,755,0,4,0,9
