trap_device_id,trap_id,trap_device_name,lat,lon,crop_id,crop_name,pest_id,pest_name,fields_region_state,fields_state,trapdata_date,trapdata_daily_avg_count,trapdata_trap_count,trapdata_incremental_count,trapdata_cumulative_count
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,4/23/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,4/24/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,4/25/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,4/26/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,4/27/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,4/28/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,4/29/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,4/30/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/1/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/2/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/3/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/4/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/5/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/6/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/7/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/8/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/9/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/10/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/11/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/12/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/13/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/14/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/15/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/16/2023,0,0,0,0
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/17/2023,1,1,1,1
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/18/2023,0,1,0,1
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/19/2023,1,2,1,2
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/20/2023,0,2,0,2
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/21/2023,1,3,1,3
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/22/2023,0,3,0,3
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/23/2023,1,4,1,4
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/24/2023,0,4,0,4
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/25/2023,1,5,1,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/26/2023,0,0,0,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/27/2023,0,0,0,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/28/2023,0,0,0,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/29/2023,0,0,0,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/30/2023,0,,,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,5/31/2023,0,,,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/1/2023,0,0,0,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/2/2023,0,0,0,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/3/2023,0,,,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/4/2023,0,0,0,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/5/2023,0,0,0,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/6/2023,0,0,0,5
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/7/2023,3,3,3,8
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/8/2023,2,5,2,10
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/9/2023,0,0,0,10
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/10/2023,0,0,0,10
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/11/2023,1,1,1,11
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/12/2023,1,2,1,12
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/13/2023,0,2,0,12
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/14/2023,0,2,0,12
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/15/2023,2,2,2,14
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/16/2023,0,1,0,14
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/17/2023,5,6,5,19
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/18/2023,0,6,0,19
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/19/2023,3,9,3,22
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/20/2023,0,9,0,22
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/21/2023,1,10,1,23
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/22/2023,1,1,1,24
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/23/2023,1,2,1,25
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/24/2023,0,2,0,25
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/25/2023,3,5,3,28
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/26/2023,0,4,0,28
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/27/2023,4,8,4,32
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/28/2023,5,13,5,37
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/29/2023,2,15,2,39
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,6/30/2023,0,15,0,39
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/1/2023,0,0,0,39
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/2/2023,0,0,0,39
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/3/2023,0,0,0,39
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/4/2023,1,1,1,40
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/5/2023,0,1,0,40
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/6/2023,0,1,0,40
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/7/2023,0,0,0,40
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/8/2023,2,2,2,42
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/9/2023,0,1,0,42
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/10/2023,2,3,2,44
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/11/2023,0,2,0,44
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/12/2023,1,3,1,45
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/13/2023,1,4,1,46
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/14/2023,0,0,0,46
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/15/2023,1,1,1,47
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/16/2023,0,1,0,47
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/17/2023,1,2,1,48
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/18/2023,4,6,4,52
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/19/2023,0,6,0,52
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/20/2023,2,2,2,54
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/21/2023,0,2,0,54
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/22/2023,7,9,7,61
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/23/2023,3,12,3,64
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/24/2023,0,10,0,64
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/25/2023,1,11,1,65
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/26/2023,1,12,1,66
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/27/2023,2,14,2,68
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/28/2023,3,3,3,71
TP862382065550328,2258,Peters Kennedy cm L2 TP862382065550328,40.0522,-77.1573,19,Apples,10,Cydia pomonella,Pennsylvania,,7/29/2023,0,3,0,71
